SPM (Spatial Population Model)
Call: spm -m -g 0 
Date: Thu Nov 19 15:36:51 2015
v1.1-2015-11-19 (rev. 1270). Copyright (c) 2008-2015, NIWA
User name: dunn
Machine name: NIWA-34286 (Windows_NT, PID=5832)

[MCMC]
report.type: MCMC
Original covariance matrix:
1.16837e-009 -2.13186 8.24457e-006 6.38904e-006
-2.13186 4.28776e+009 -12428.3 -11631.5
8.24457e-006 -12428.3 0.131091 0.0662034
6.38904e-006 -11631.5 0.0662034 0.0890384
Proposal distribution covariance matrix:
1e-010 -0.589329 2.412e-006 1.86915e-006
-0.623688 4.28776e+009 -12428.3 -11631.5
2.412e-006 -12428.3 0.131091 0.0662034
1.86915e-006 -11631.5 0.0662034 0.0890384
Cholesky decomposition matrix:
1e-005 0 0 0
-62368.8 19947.2 0 0
0.2412 0.131102 0.236063 0
0.186915 0.00131526 0.0887348 0.215001
MCMC objective function values:
iteration score penalty prior likelihood acceptance_rate acceptance_rate_since_adapt stepsize
232000 280.88 0 0 282.701 0.405185 0.422045 0.484267
233000 281.598 0 0 287.628 0.40476 0.421173 0.484267
234000 279.763 0 0 279.763 0.404291 0.420231 0.484267
235000 279.603 0 0 399.549 0.404098 0.419778 0.484267
236000 283.597 0 0 284.9 0.404212 0.41986 0.484267
237000 281.89 0 0 292.457 0.404376 0.420029 0.484267
238000 279.571 0 0 285 0.404214 0.419638 0.484267
239000 280.976 0 0 404.942 0.404109 0.419345 0.484267
240000 281.585 0 0 286.688 0.403913 0.4189 0.484267
241000 286.386 0 0 308.749 0.403407 0.417929 0.484267
242000 281.766 0 0 397.432 0.402756 0.416718 0.484267
243000 283.709 7.63062e+010 0 623.601 0.402189 0.415657 0.484267
244000 283.333 0 0 292.833 0.401443 0.414299 0.484267
245000 283.421 0 0 283.421 0.401143 0.413703 0.484267
246000 281.434 0 0 281.434 0.401049 0.413459 0.484267
247000 280.678 0 0 287.434 0.40102 0.413327 0.484267
248000 283.91 0 0 283.91 0.401472 0.414 0.484267
249000 279.847 0 0 279.847 0.401863 0.41457 0.484267
250000 280.901 0 0 281.106 0.401964 0.414653 0.484267
251000 284.304 0 0 284.304 0.402434 0.415351 0.484267
252000 282.543 0 0 284.887 0.402921 0.416072 0.484267
253000 280.779 0 0 281.832 0.403174 0.416405 0.484267
254000 280.191 0 0 280.191 0.403138 0.41626 0.484267
255000 279.872 0 0 279.872 0.403094 0.416103 0.484267
256000 280.212 0 0 280.375 0.403148 0.416109 0.484267
257000 281.366 0 0 281.366 0.403377 0.416401 0.484267
258000 279.269 0 0 279.269 0.403822 0.417044 0.484267
259000 280.209 0 0 296.36 0.404124 0.417453 0.484267
260000 283.097 0 0 283.097 0.404227 0.417538 0.484267
261000 279.541 0 0 320.257 0.404322 0.417609 0.484267
262000 280.353 0 0 280.353 0.404267 0.417438 0.484267
263000 279.861 0 0 283.99 0.404536 0.417791 0.484267
264000 280.847 0 0 280.847 0.404136 0.417067 0.484267
265000 281.241 0 0 290.544 0.404223 0.417127 0.484267
266000 280.977 0 0 283.781 0.404564 0.417596 0.484267
267000 279.74 0 0 286.179 0.404899 0.418054 0.484267
268000 282.37 0 0 288.934 0.405478 0.418899 0.484267
269000 282.8 0 0 282.8 0.405796 0.419325 0.484267
270000 279.933 0 0 280.506 0.406107 0.419741 0.484267
271000 280.796 0 0 282.023 0.406199 0.419807 0.484267
272000 282.537 0 0 285.774 0.405926 0.419297 0.484267
273000 282.917 0 0 284.098 0.405538 0.418607 0.484267
274000 280.522 0 0 282.52 0.405219 0.418029 0.484267
275000 280.771 0 0 280.771 0.4052 0.417926 0.484267
276000 281.467 0 0 285.88 0.405395 0.418159 0.484267
277000 279.943 1.55724e+010 0 532.329 0.405231 0.417831 0.484267
