SPM (Spatial Population Model)
Call: spm -p -q -g 0 -o profile.dat 
Date: Sun Aug 19 08:57:15 2018
v1.1-2018-05-31 (rev. 1291). Copyright (c) 2008-2018, NIWA
User name: Admin
Machine name: DELL9070 (Windows_NT, PID=7804)

[mature-2002]
report.type: observation
observation.label: mature-2002
observation.year: 2002
observation.time_step: one
observation.min_age: 1
observation.max_age: 30
observation.age_plus_group: true
area age observed expected residual errorvalue processerror totalerror score
r4-c6 6 0 0.289012 -0.289012 0 0 0 -0
r4-c6 7 0 0.333659 -0.333659 0 0 0 -0
r4-c6 8 0 0.388247 -0.388247 0 0 0 -0
r4-c6 9 0 0.450792 -0.450792 0.0413282 0 0.0413282 0.0247671
r4-c6 10 1 0.516454 0.483546 0.285052 0 0.285052 0.188354
r4-c6 11 1 0.582575 0.417425 0.255334 0 0.255334 0.137956
r4-c6 12 1 0.646893 0.353107 0.458394 0 0.458394 0.199664
r4-c6 13 1 0.707292 0.292708 1.48359 0 1.48359 0.513783
r4-c6 14 1 0.761934 0.238066 1.22638 0 1.22638 0.333446
r4-c6 15 1 0.809524 0.190476 0.878357 0 0.878357 0.185605
r4-c6 16 1 0.849524 0.150476 2.11263 0 2.11263 0.344525
r4-c6 17 1 0.882172 0.117828 3.12153 0 3.12153 0.391341
r4-c6 18 1 0.908251 0.0917491 3.66994 0 3.66994 0.353175
r4-c6 19 1 0.928792 0.0712076 2.83418 0 2.83418 0.209361
r4-c6 20 1 0.944834 0.0551657 1.0896 0 1.0896 0.0618304
r4-c6 21 1 0.9573 0.0427003 3.15488 0 3.15488 0.137675
r4-c6 22 1 0.966958 0.0330415 2.58475 0 2.58475 0.086847
r4-c6 23 1 0.974431 0.0255691 2.21443 0 2.21443 0.0573573
r4-c6 24 1 0.980208 0.0197921 1.3427 0 1.3427 0.0268413
r4-c6 25 1 0.984674 0.0153265 1.14878 0 1.14878 0.017743
r4-c6 26 1 0.988126 0.0118738 1.86628 0 1.86628 0.0222924
r4-c6 27 1 0.990797 0.00920305 1.72223 0 1.72223 0.0159231
r4-c6 28 1 0.992864 0.00713608 1.72223 0 1.72223 0.012334
r4-c6 29 1 0.994465 0.00553546 0.907029 0 0.907029 0.00503477
r4-c6 30 1 1 0 0.395057 0 0.395057 -0
r5-c4 1 0 0 0 0 0 0 -0
r5-c4 2 0 0 0 0 0 0 -0
r5-c4 3 0 0 0 0 0 0 -0
r5-c4 4 0 0 0 0 0 0 -0
r5-c4 5 0 0.0759774 -0.0759774 0 0 0 -0
r5-c4 6 0 0.702886 -0.702886 0 0 0 -0
r5-c4 7 0 0.770701 -0.770701 0 0 0 -0
r5-c4 8 0 0.814792 -0.814792 0 0 0 -0
r5-c4 9 0 0.851657 -0.851657 0 0 0 -0
r5-c4 10 0 0.882564 -0.882564 0 0 0 -0
r5-c4 11 0 0.908142 -0.908142 0 0 0 -0
r5-c4 12 1 0.928986 0.071014 2.5356 0 2.5356 0.186776
r5-c4 13 0 0.945689 -0.945689 0.00978164 0 0.00978164 0.0284942
r5-c4 14 0 0.958829 -0.958829 0.00638569 0 0.00638569 0.0203705
r5-c4 15 0 0.968973 -0.968973 0.010012 0 0.010012 0.0347707
r5-c4 16 0 0.976676 -0.976676 0.00655429 0 0.00655429 0.0246328
r5-c4 17 1 0.982459 0.0175409 1.09188 0 1.09188 0.0193225
r5-c4 18 1 0.986777 0.0132229 1.17381 0 1.17381 0.0156247
r5-c4 19 0 0.989999 -0.989999 0 0 0 -0
r5-c4 20 0 0.99241 -0.99241 0.00553689 0 0.00553689 0.0270252
r5-c4 21 1 0.99422 0.00577963 0.866945 0 0.866945 0.00502515
r5-c4 22 0 0.995585 -0.995585 0.00658517 0 0.00658517 0.0357102
r5-c4 23 0 0.996619 -0.996619 0 0 0 -0
r5-c4 24 0 0.997404 -0.997404 0.00553689 0 0.00553689 0.0329648
r5-c4 25 0 0.998002 -0.998002 0 0 0 -0
r5-c4 26 0 0.99846 -0.99846 0 0 0 -0
r5-c4 27 0 0.998811 -0.998811 0 0 0 -0
r5-c4 28 0 0.999081 -0.999081 0 0 0 -0
r5-c4 29 0 0.999289 -0.999289 0 0 0 -0
r5-c4 30 0 1 -1 0 0 0 -0
r5-c5 1 0 0 0 0 0 0 -0
r5-c5 2 0 0 0 0 0 0 -0
r5-c5 3 0 0 0 0 0 0 -0
r5-c5 4 0 0 0 0 0 0 -0
r5-c5 5 0 0.0759774 -0.0759774 0 0 0 -0
r5-c5 6 0 0.688527 -0.688527 0 0 0 -0
r5-c5 7 0 0.762055 -0.762055 0 0 0 -0
r5-c5 8 0 0.808343 -0.808343 0 0 0 -0
r5-c5 9 0 0.846539 -0.846539 0 0 0 -0
r5-c5 10 0 0.878476 -0.878476 0 0 0 -0
r5-c5 11 0 0.90492 -0.90492 0 0 0 -0
r5-c5 12 1 0.926495 0.0735053 0.149767 0 0.149767 0.0114342
r5-c5 13 0 0.943801 -0.943801 0.00333314 0 0.00333314 0.00959566
r5-c5 14 1 0.957423 0.0425766 0.675179 0 0.675179 0.0293768
r5-c5 15 1 0.967939 0.0320606 0.840138 0 0.840138 0.0273765
r5-c5 16 1 0.975921 0.0240787 2.23433 0 2.23433 0.0544581
r5-c5 17 1 0.981909 0.0180909 2.22103 0 2.22103 0.0405484
r5-c5 18 1 0.986376 0.0136243 1.60637 0 1.60637 0.0220361
r5-c5 19 1 0.989706 0.0102944 3.13259 0 3.13259 0.0324152
r5-c5 20 1 0.992194 0.00780595 1.2291 0 1.2291 0.00963193
r5-c5 21 1 0.994061 0.0059393 2.90218 0 2.90218 0.0172883
r5-c5 22 1 0.995467 0.00453331 1.78253 0 1.78253 0.00809912
r5-c5 23 1 0.99653 0.00347001 0.674071 0 0.674071 0.0023431
r5-c5 24 1 0.997337 0.00266282 1.87139 0 1.87139 0.00498983
r5-c5 25 1 0.997952 0.0020479 0.680761 0 0.680761 0.00139556
r5-c5 26 1 0.998422 0.00157798 1.0455 0 1.0455 0.00165107
r5-c5 27 1 0.998782 0.00121784 1.51293 0 1.51293 0.00184362
r5-c5 28 1 0.999059 0.000941153 0.79153 0 0.79153 0.000745301
r5-c5 29 1 0.999272 0.000728135 0.213149 0 0.213149 0.000155258
r5-c5 30 1 1 0 1.22638 0 1.22638 -0
r5-c6 1 0 0 0 0 0 0 -0
r5-c6 2 0 0 0 0 0 0 -0
r5-c6 3 0 0 0 0 0 0 -0
r5-c6 4 0 0 0 0 0 0 -0
r5-c6 5 0 0.0759774 -0.0759774 0 0 0 -0
r5-c6 6 0 0.655034 -0.655034 0 0 0 -0
r5-c6 7 0 0.741578 -0.741578 0 0 0 -0
r5-c6 8 0 0.792543 -0.792543 0 0 0 -0
r5-c6 9 0 0.83369 -0.83369 0.00947188 0 0.00947188 0.0169916
r5-c6 10 1 0.868071 0.131929 0.271833 0 0.271833 0.0384595
r5-c6 11 0 0.896647 -0.896647 0.00992641 0 0.00992641 0.0225291
r5-c6 12 1 0.920054 0.0799464 0.840138 0 0.840138 0.0700031
r5-c6 13 1 0.938884 0.0611163 0.976425 0 0.976425 0.061577
r5-c6 14 1 0.953729 0.0462714 1.82122 0 1.82122 0.0862826
r5-c6 15 1 0.965193 0.0348069 1.79689 0 1.79689 0.0636587
r5-c6 16 1 0.97389 0.0261096 3.52002 0 3.52002 0.0931274
r5-c6 17 1 0.980408 0.0195918 4.50773 0 4.50773 0.0891914
r5-c6 18 1 0.985264 0.0147362 4.96029 0 4.96029 0.0736396
r5-c6 19 1 0.988879 0.0111212 3.50685 0 3.50685 0.039219
r5-c6 20 1 0.991576 0.00842354 1.17891 0 1.17891 0.00997265
r5-c6 21 1 0.993597 0.00640271 5.38326 0 5.38326 0.0345783
r5-c6 22 1 0.995117 0.00488258 3.39157 0 3.39157 0.0166002
r5-c6 23 1 0.996266 0.00373438 2.22767 0 2.22767 0.00833453
r5-c6 24 1 0.997136 0.00286372 2.56 0 2.56 0.00734165
r5-c6 25 1 0.997799 0.00220113 1.90776 0 1.90776 0.00420385
r5-c6 26 1 0.998305 0.00169522 2.4957 0 2.4957 0.00423435
r5-c6 27 1 0.998692 0.0013078 3.05638 0 3.05638 0.00399974
r5-c6 28 1 0.99899 0.00101034 2.16263 0 2.16263 0.0021861
r5-c6 29 1 0.999219 0.000781457 1.5862 0 1.5862 0.00124004
r5-c6 30 1 1 0 1.71322 0 1.71322 -0
r6-c5 1 0 0 0 0 0 0 -0
r6-c5 2 0 0 0 0 0 0 -0
r6-c5 3 0 0 0 0 0 0 -0
r6-c5 4 0 0 0 0 0 0 -0
r6-c5 5 0 0.0759774 -0.0759774 0 0 0 -0
r6-c5 6 0 0.985342 -0.985342 0 0 0 -0
r6-c5 7 0 0.991479 -0.991479 0 0 0 -0
r6-c5 8 0 0.99378 -0.99378 0 0 0 -0
r6-c5 9 0 0.995288 -0.995288 0 0 0 -0
r6-c5 10 0 0.996419 -0.996419 0 0 0 -0
r6-c5 11 0 0.997291 -0.997291 0 0 0 -0
r6-c5 12 0 0.997965 -0.997965 0 0 0 -0
r6-c5 13 1 0.998482 0.00151806 0.910495 0 0.910495 0.00138324
r6-c5 14 1 0.998874 0.00112616 0.383403 0 0.383403 0.000432014
r6-c5 15 1 0.999167 0.000833074 2.01769 0 2.01769 0.00168159
r6-c5 16 0 0.999384 -0.999384 0 0 0 -0
r6-c5 17 1 0.999542 0.000457589 0.469774 0 0.469774 0.000215013
r6-c5 18 1 0.999659 0.00034119 0.479585 0 0.479585 0.000163657
r6-c5 19 1 0.999744 0.000255694 0.573052 0 0.573052 0.000146545
r6-c5 20 1 0.999807 0.000192578 0.547075 0 0.547075 0.000105365
r6-c5 21 1 0.999854 0.00014571 0.408815 0 0.408815 5.95727e-05
r6-c5 22 1 0.999889 0.000110705 1.34894 0 1.34894 0.000149343
r6-c5 23 0 0.999916 -0.999916 0 0 0 -0
r6-c5 24 0 0.999935 -0.999935 0 0 0 -0
r6-c5 25 0 0.99995 -0.99995 0 0 0 -0
r6-c5 26 0 0.999962 -0.999962 0 0 0 -0
r6-c5 27 0 0.999971 -0.999971 0 0 0 -0
r6-c5 28 0 0.999977 -0.999977 0 0 0 -0
r6-c5 29 0 0.999982 -0.999982 0 0 0 -0
r6-c5 30 0 1 -1 0 0 0 -0
*end

[mature-2003]
report.type: observation
observation.label: mature-2003
observation.year: 2003
observation.time_step: one
observation.min_age: 1
observation.max_age: 30
observation.age_plus_group: true
area age observed expected residual errorvalue processerror totalerror score
r3-c4 1 0 0 0 0 0 0 -0
r3-c4 2 0 0 0 0 0 0 -0
r3-c4 3 0 0 0 0 0 0 -0
r3-c4 4 0 0 0 0 0 0 -0
r3-c4 5 0 0.0759774 -0.0759774 0 0 0 -0
r3-c4 6 0 0.0538162 -0.0538162 0.0840647 0 0.0840647 0.00465033
r3-c4 7 0 0.0548231 -0.0548231 0.0203152 0 0.0203152 0.00114544
