SPM (Spatial Population Model)
Call: spm -e 
Date: Thu Nov 20 11:00:48 2014
v1.1-2014-10-19 (rev. 1221). Copyright (c) 2008-2014, NIWA
User name: marshcrai
Machine name: KK-404-01-C (Windows_NT, PID=3956)

[initialisation-phase1]
report.type: initialisation
initialisation.initialisation_phase: Phase1
years: 60
lambda: 1e-010
lambda_hat: 0.00917615 0.000165044 3.02189e-006 5.53476e-008 1.01373e-009 1.85672e-011
lambda_years: 10 20 30 40 50 60
row column category age[1]
2 9 stock 7319.56
2 10 stock 7494.8
2 11 stock 7671.28
2 12 stock 7669.2
2 13 stock 7087.19
2 14 stock 6657.27
2 15 stock 6111.19
2 16 stock 5685.07
2 17 stock 5491.55
2 18 stock 5852.88
2 19 stock 6511.84
2 20 stock 7131.91
2 21 stock 7337.9
2 22 stock 6995.74
2 23 stock 6534.51
2 24 stock 6054.18
2 25 stock 5935.65
2 26 stock 6053.55
2 27 stock 6132.95
2 28 stock 6088.97
2 29 stock 6043.67
2 30 stock 5633.43
2 31 stock 5074.55
3 1 stock 4199.57
3 2 stock 5417.92
3 3 stock 6779.76
3 4 stock 8049.08
3 5 stock 8797.95
3 6 stock 9261.51
3 7 stock 9541.61
3 8 stock 9701.62
3 9 stock 9625.58
3 10 stock 9801.96
3 11 stock 9919.39
3 12 stock 9736.49
3 13 stock 8851.96
3 14 stock 8133.94
3 15 stock 7368.19
3 16 stock 6771.6
3 17 stock 6573.34
3 18 stock 7059.28
3 19 stock 7958.59
3 20 stock 8826.69
3 21 stock 9111.71
3 22 stock 8743.46
3 23 stock 8151.47
3 24 stock 7580.66
3 25 stock 7468.84
3 26 stock 7735.55
3 27 stock 7916.73
3 28 stock 7886.19
3 29 stock 7797.25
3 30 stock 7185.23
3 31 stock 6400.64
4 1 stock 4696.67
4 2 stock 6143.14
4 3 stock 7918.34
4 4 stock 9630.17
4 5 stock 10602
4 6 stock 11031.1
4 7 stock 11146.6
4 8 stock 11131.7
4 9 stock 10942.5
4 10 stock 11063.9
4 11 stock 11154.2
4 12 stock 10980.3
4 13 stock 10059.6
4 14 stock 9277.34
4 15 stock 8503.76
4 16 stock 7845.26
4 17 stock 7588.41
4 18 stock 8188.86
4 19 stock 9172.61
4 20 stock 10025
4 21 stock 10146.3
4 22 stock 9785.6
4 23 stock 9192.32
4 24 stock 8657.71
4 25 stock 8605.16
4 26 stock 9039.79
4 27 stock 9498.89
4 28 stock 9524.54
4 29 stock 9358.52
